!Cross sections in [cm2] of electron interaction with the medium,
!Energy(eV)   H2(mt)      He(mt)      H2(ion)     H2(ion_rel) 
0.1           1.05e-15    5.86e-16    0           0           
0.112202      1.07e-15    5.91e-16    0           0           
0.125893      1.1e-15     5.96e-16    0           0           
0.141254      1.12e-15    6.01e-16    0           0           
0.158489      1.15e-15    6.06e-16    0           0           
0.177828      1.17e-15    6.11e-16    0           0           
0.199526      1.2e-15     6.16e-16    0           0           
0.223872      1.23e-15    6.21e-16    0           0           
0.251189      1.26e-15    6.27e-16    0           0           
0.281838      1.28e-15    6.32e-16    0           0           
0.316228      1.31e-15    6.37e-16    0           0           
0.354813      1.34e-15    6.43e-16    0           0           
0.398107      1.38e-15    6.49e-16    0           0           
0.446684      1.41e-15    6.54e-16    0           0           
0.501187      1.45e-15    6.59e-16    0           0           
0.562341      1.49e-15    6.63e-16    0           0           
0.630957      1.53e-15    6.68e-16    0           0           
0.707946      1.57e-15    6.73e-16    0           0           
0.794328      1.61e-15    6.77e-16    0           0           
0.891251      1.65e-15    6.82e-16    0           0           
1             1.7e-15     6.85e-16    0           0           
1.12202       1.74e-15    6.89e-16    0           0           
1.25893       1.78e-15    6.92e-16    0           0           
1.41254       1.8e-15     6.95e-16    0           0           
1.58489       1.82e-15    6.97e-16    0           0           
1.77828       1.82e-15    6.98e-16    0           0           
1.99526       1.81e-15    6.99e-16    0           0           
2.23872       1.78e-15    6.98e-16    0           0           
2.51189       1.74e-15    6.96e-16    0           0           
2.81838       1.67e-15    6.92e-16    0           0           
3.16228       1.59e-15    6.84e-16    0           0           
3.54813       1.49e-15    6.73e-16    0           0           
3.98107       1.37e-15    6.61e-16    0           0           
4.46684       1.27e-15    6.44e-16    0           0           
5.01187       1.16e-15    6.26e-16    0           0           
5.62341       1.06e-15    6.1e-16     0           0           
6.30957       9.56e-16    5.91e-16    0           0           
7.07946       8.5e-16     5.65e-16    0           0           
7.94328       7.54e-16    5.37e-16    0           0           
8.91251       6.66e-16    5.06e-16    0           0           
10            5.78e-16    4.72e-16    0           0           
11.2202       4.94e-16    4.38e-16    0           0           
12.5893       4.18e-16    4.03e-16    0           0           
14.1254       3.6e-16     3.74e-16    0           0           
15.8489       3.06e-16    3.37e-16    2.82e-18    2.82e-18    
17.7828       2.58e-16    2.95e-16    1.48e-17    1.48e-17    
19.9526       2.16e-16    2.6e-16     2.64e-17    2.64e-17    
22.3872       1.83e-16    2.24e-16    3.77e-17    3.77e-17    
25.1189       1.47e-16    1.93e-16    4.85e-17    4.85e-17    
28.1838       1.22e-16    1.64e-16    5.85e-17    5.85e-17    
31.6228       1.01e-16    1.39e-16    6.75e-17    6.75e-17    
35.4813       8.35e-17    1.16e-16    7.54e-17    7.54e-17    
39.8107       6.44e-17    9.9e-17     8.21e-17    8.21e-17    
44.6684       5.34e-17    8.3e-17     8.75e-17    8.75e-17    
50.1187       4.16e-17    6.98e-17    9.16e-17    9.16e-17    
56.2341       3.51e-17    5.76e-17    9.45e-17    9.45e-17    
63.0957       2.9e-17     4.75e-17    9.61e-17    9.61e-17    
70.7946       2.4e-17     3.9e-17     9.66e-17    9.66e-17    
79.4328       2.02e-17    3.2e-17     9.62e-17    9.62e-17    
89.1251       1.72e-17    2.63e-17    9.48e-17    9.48e-17    
100           1.49e-17    2.15e-17    9.28e-17    9.28e-17    
112.202       1.14e-17    1.79e-17    9.01e-17    9.01e-17    
125.893       9.7e-18     1.5e-17     8.69e-17    8.69e-17    
141.254       8.09e-18    1.22e-17    8.33e-17    8.33e-17    
158.489       6.66e-18    1e-17       7.94e-17    7.95e-17    
177.828       5.49e-18    8.33e-18    7.54e-17    7.54e-17    
199.526       4.51e-18    6.9e-18     7.12e-17    7.12e-17    
223.872       3.69e-18    5.68e-18    6.7e-17     6.7e-17     
251.189       3e-18       4.73e-18    6.27e-17    6.28e-17    
281.838       2.44e-18    3.94e-18    5.86e-17    5.87e-17    
316.228       2e-18       3.28e-18    5.46e-17    5.46e-17    
354.813       1.63e-18    2.72e-18    5.07e-17    5.07e-17    
398.107       1.35e-18    2.26e-18    4.69e-17    4.69e-17    
446.684       1.1e-18     1.87e-18    4.33e-17    4.34e-17    
501.187       9.02e-19    1.54e-18    3.99e-17    4e-17       
562.341       7.38e-19    1.27e-18    3.67e-17    3.68e-17    
630.957       6.03e-19    1.04e-18    3.37e-17    3.38e-17    
707.946       4.92e-19    8.53e-19    3.09e-17    3.1e-17     
794.328       4.02e-19    7.03e-19    2.83e-17    2.83e-17    
891.251       3.3e-19     5.79e-19    2.59e-17    2.59e-17    
1000          2.7e-19     4.72e-19    2.36e-17    2.37e-17    
1122.02       2.21e-19    3.89e-19    2.15e-17    2.16e-17    
1258.93       1.81e-19    3.2e-19     1.96e-17    1.97e-17    
1412.54       1.48e-19    2.64e-19    1.78e-17    1.79e-17    
1584.89       1.21e-19    2.18e-19    1.62e-17    1.63e-17    
1778.28       9.92e-20    1.79e-19    1.47e-17    1.48e-17    
1995.26       8.12e-20    1.48e-19    1.34e-17    1.34e-17    
2238.72       6.65e-20    1.22e-19    1.21e-17    1.22e-17    
2511.89       5.44e-20    1e-19       1.1e-17     1.11e-17    
2818.38       4.45e-20    8.27e-20    9.96e-18    1e-17       
3162.28       3.64e-20    6.82e-20    9.02e-18    9.09e-18    
3548.13       2.98e-20    5.62e-20    8.16e-18    8.24e-18    
3981.07       2.44e-20    4.63e-20    7.39e-18    7.46e-18    
4466.84       2e-20       3.82e-20    6.68e-18    6.76e-18    
5011.87       1.64e-20    3.14e-20    6.04e-18    6.12e-18    
5623.41       1.34e-20    2.59e-20    5.46e-18    5.54e-18    
6309.57       1.1e-20     2.14e-20    4.93e-18    5.01e-18    
7079.46       8.96e-21    1.76e-20    4.45e-18    4.53e-18    
7943.28       7.34e-21    1.45e-20    4.02e-18    4.1e-18     
8912.51       6.01e-21    1.2e-20     3.63e-18    3.71e-18    
10000         4.92e-21    9.85e-21    3.27e-18    3.36e-18    
11220.2       4.02e-21    8.12e-21    2.95e-18    3.04e-18    
12589.3       3.29e-21    6.69e-21    2.66e-18    2.75e-18    
14125.4       2.69e-21    5.52e-21    2.4e-18     2.49e-18    
15848.9       2.21e-21    4.55e-21    2.17e-18    2.26e-18    
17782.8       1.81e-21    3.75e-21    1.95e-18    2.05e-18    
19952.6       1.48e-21    3.09e-21    1.76e-18    1.85e-18    
22387.2       1.21e-21    2.54e-21    1.59e-18    1.68e-18    
25118.9       9.9e-22     2.1e-21     1.43e-18    1.53e-18    
28183.8       8.1e-22     1.73e-21    1.29e-18    1.38e-18    
31622.8       6.63e-22    1.42e-21    1.16e-18    1.26e-18    
35481.3       5.43e-22    1.17e-21    1.04e-18    1.14e-18    
39810.7       4.44e-22    9.67e-22    9.4e-19     1.04e-18    
44668.4       3.64e-22    7.97e-22    8.47e-19    9.5e-19     
50118.7       2.98e-22    6.57e-22    7.62e-19    8.67e-19    
56234.1       2.44e-22    5.41e-22    6.86e-19    7.92e-19    
63095.7       1.99e-22    4.46e-22    6.17e-19    7.25e-19    
70794.6       1.63e-22    3.68e-22    5.56e-19    6.64e-19    
79432.8       1.34e-22    3.03e-22    5e-19       6.1e-19     
89125.1       1.09e-22    2.5e-22     4.5e-19     5.62e-19    
100000        8.94e-23    2.06e-22    4.05e-19    5.18e-19    
112202        7.32e-23    1.7e-22     3.64e-19    4.79e-19    
125893        5.99e-23    1.4e-22     3.27e-19    4.44e-19    
141254        4.9e-23     1.15e-22    2.95e-19    4.13e-19    
158489        4.01e-23    9.5e-23     2.65e-19    3.85e-19    
177828        3.28e-23    7.83e-23    2.38e-19    3.6e-19     
199526        2.69e-23    6.45e-23    2.14e-19    3.38e-19    
223872        2.2e-23     5.32e-23    1.93e-19    3.19e-19    
251189        1.8e-23     4.38e-23    1.73e-19    3.01e-19    
281838        1.47e-23    3.61e-23    1.56e-19    2.86e-19    
316228        1.21e-23    2.98e-23    1.4e-19     2.73e-19    
354813        9.87e-24    2.45e-23    1.26e-19    2.61e-19    
398107        8.08e-24    2.02e-23    1.13e-19    2.51e-19    
446684        6.61e-24    1.67e-23    1.02e-19    2.42e-19    
501187        5.41e-24    1.37e-23    9.13e-20    2.34e-19    
562341        4.43e-24    1.13e-23    8.2e-20     2.28e-19    
630957        3.63e-24    9.32e-24    7.37e-20    2.22e-19    
707946        2.97e-24    7.68e-24    6.62e-20    2.18e-19    
794328        2.43e-24    6.33e-24    5.95e-20    2.14e-19    
891251        1.99e-24    5.22e-24    5.34e-20    2.11e-19    
1e+06         1.63e-24    4.3e-24     4.8e-20     2.09e-19    
