!Dissociation / excitation rates,
!h2_exc_el- H2 electronic excitation rate, in [cm-3 s-1],
!h2_exc_v - H2 vibrational excitation rate, vi = 0 -> vf > 0 (within the ground electronic state), in [cm-3 s-1],
!h2_exc_r - H2 pure rotational excitation within v = 0, ji = 0,1 -> jf > 1, in [cm-3 s-1],
!distance from the GRB source to cloud layer centre [pc], H column density from the cloud boundary to layer centre [cm-2], H nuclei concentration [cm-3], nb of times,
! 0.000000e+00   0.000000e+00   2.000000e+04   212    
!time(s)     h2_exc_el   h2_exc_v    h2_exc_r    
0.000e+00    0.00e+00    0.00e+00    0.00e+00    
1.000e+01    3.28e-05    8.92e-09    3.06e-08    
1.080e+01    3.28e-05    9.63e-09    3.31e-08    
1.166e+01    3.28e-05    1.04e-08    3.57e-08    
1.259e+01    3.28e-05    1.12e-08    3.86e-08    
1.359e+01    3.28e-05    1.21e-08    4.16e-08    
1.468e+01    3.28e-05    1.31e-08    4.50e-08    
1.585e+01    3.28e-05    1.41e-08    4.85e-08    
1.711e+01    3.28e-05    1.53e-08    5.24e-08    
1.848e+01    3.29e-05    1.65e-08    5.66e-08    
1.995e+01    3.29e-05    1.78e-08    6.11e-08    
2.154e+01    3.29e-05    1.92e-08    6.60e-08    
2.326e+01    3.29e-05    2.08e-08    7.13e-08    
2.512e+01    3.29e-05    2.24e-08    7.70e-08    
2.712e+01    3.29e-05    2.42e-08    8.32e-08    
2.929e+01    3.29e-05    2.61e-08    8.98e-08    
3.162e+01    3.29e-05    2.82e-08    9.70e-08    
3.415e+01    3.29e-05    3.05e-08    1.05e-07    
3.687e+01    3.29e-05    3.29e-08    1.13e-07    
3.981e+01    3.29e-05    3.56e-08    1.22e-07    
4.299e+01    3.29e-05    3.84e-08    1.32e-07    
4.642e+01    3.29e-05    4.15e-08    1.43e-07    
5.012e+01    3.30e-05    4.48e-08    1.54e-07    
5.412e+01    3.30e-05    4.84e-08    1.66e-07    
5.843e+01    3.30e-05    5.23e-08    1.80e-07    
6.310e+01    3.30e-05    5.65e-08    1.94e-07    
6.813e+01    3.30e-05    6.10e-08    2.10e-07    
7.356e+01    3.30e-05    6.59e-08    2.26e-07    
7.943e+01    3.30e-05    7.12e-08    2.45e-07    
8.577e+01    3.31e-05    7.69e-08    2.64e-07    
9.261e+01    3.31e-05    8.31e-08    2.85e-07    
1.000e+02    3.31e-05    8.98e-08    3.08e-07    
1.080e+02    3.31e-05    9.70e-08    3.33e-07    
1.166e+02    3.32e-05    1.05e-07    3.60e-07    
1.259e+02    3.32e-05    1.13e-07    3.89e-07    
1.359e+02    3.32e-05    1.22e-07    4.20e-07    
1.468e+02    3.32e-05    1.32e-07    4.54e-07    
1.585e+02    3.33e-05    1.43e-07    4.91e-07    
1.711e+02    3.33e-05    1.54e-07    5.31e-07    
1.848e+02    3.34e-05    1.67e-07    5.73e-07    
1.995e+02    3.34e-05    1.80e-07    6.20e-07    
2.154e+02    3.35e-05    1.95e-07    6.70e-07    
2.326e+02    3.35e-05    2.11e-07    7.25e-07    
2.512e+02    3.36e-05    2.28e-07    7.84e-07    
2.712e+02    3.36e-05    2.47e-07    8.47e-07    
2.929e+02    3.37e-05    2.67e-07    9.16e-07    
3.162e+02    3.38e-05    2.88e-07    9.91e-07    
3.415e+02    3.38e-05    3.12e-07    1.07e-06    
3.687e+02    3.39e-05    3.38e-07    1.16e-06    
3.981e+02    3.40e-05    3.65e-07    1.26e-06    
4.299e+02    3.41e-05    3.95e-07    1.36e-06    
4.642e+02    3.42e-05    4.28e-07    1.47e-06    
5.012e+02    3.43e-05    4.63e-07    1.59e-06    
5.412e+02    3.44e-05    5.02e-07    1.72e-06    
5.843e+02    3.45e-05    5.43e-07    1.87e-06    
6.310e+02    3.47e-05    5.89e-07    2.02e-06    
6.813e+02    3.48e-05    6.38e-07    2.19e-06    
7.356e+02    3.50e-05    6.91e-07    2.38e-06    
7.943e+02    3.51e-05    7.49e-07    2.58e-06    
8.577e+02    3.53e-05    8.13e-07    2.80e-06    
9.261e+02    3.55e-05    8.82e-07    3.03e-06    
1.000e+03    3.57e-05    9.57e-07    3.29e-06    
1.080e+03    3.59e-05    1.04e-06    3.58e-06    
1.166e+03    3.61e-05    1.13e-06    3.88e-06    
1.259e+03    3.64e-05    1.23e-06    4.22e-06    
1.359e+03    3.66e-05    1.33e-06    4.59e-06    
1.468e+03    3.69e-05    1.45e-06    4.99e-06    
1.585e+03    3.72e-05    1.57e-06    5.43e-06    
1.711e+03    3.75e-05    1.71e-06    5.91e-06    
1.848e+03    3.79e-05    1.87e-06    6.43e-06    
1.995e+03    3.82e-05    2.03e-06    7.01e-06    
2.154e+03    3.86e-05    2.22e-06    7.64e-06    
2.326e+03    3.90e-05    2.42e-06    8.33e-06    
2.512e+03    3.94e-05    2.64e-06    9.10e-06    
2.712e+03    3.98e-05    2.88e-06    9.93e-06    
2.929e+03    4.03e-05    3.14e-06    1.09e-05    
3.162e+03    4.08e-05    3.44e-06    1.19e-05    
3.415e+03    4.13e-05    3.76e-06    1.30e-05    
3.687e+03    4.18e-05    4.11e-06    1.42e-05    
3.981e+03    4.23e-05    4.51e-06    1.56e-05    
4.299e+03    4.29e-05    4.94e-06    1.71e-05    
4.642e+03    4.35e-05    5.42e-06    1.87e-05    
5.012e+03    4.41e-05    5.94e-06    2.06e-05    
5.412e+03    4.47e-05    6.52e-06    2.26e-05    
5.843e+03    4.53e-05    7.17e-06    2.48e-05    
6.310e+03    4.60e-05    7.88e-06    2.73e-05    
6.813e+03    4.67e-05    8.66e-06    3.00e-05    
7.356e+03    4.73e-05    9.53e-06    3.30e-05    
7.943e+03    4.80e-05    1.05e-05    3.63e-05    
8.577e+03    4.87e-05    1.16e-05    4.00e-05    
9.261e+03    4.94e-05    1.27e-05    4.41e-05    
1.000e+04    5.00e-05    1.40e-05    4.86e-05    
1.080e+04    5.07e-05    1.55e-05    5.35e-05    
1.166e+04    5.14e-05    1.70e-05    5.90e-05    
1.259e+04    5.21e-05    1.88e-05    6.50e-05    
1.359e+04    5.27e-05    2.07e-05    7.16e-05    
1.468e+04    5.34e-05    2.28e-05    7.89e-05    
1.585e+04    5.40e-05    2.51e-05    8.69e-05    
1.711e+04    5.46e-05    2.77e-05    9.57e-05    
1.848e+04    5.52e-05    3.05e-05    1.05e-04    
1.995e+04    5.57e-05    3.36e-05    1.16e-04    
2.154e+04    5.61e-05    3.70e-05    1.27e-04    
2.326e+04    5.63e-05    4.07e-05    1.40e-04    
2.512e+04    5.64e-05    4.47e-05    1.53e-04    
2.712e+04    5.61e-05    4.91e-05    1.68e-04    
