!Rates of dissociations/excitations for each of the electronic states [cm-3 s-1],
!total - rate of excitation to all H2 electronic states (WITH excitations to dissociation continuum);
!Electronic states: B, C, Bp, D, EF, Bpp, Dp, b, a, c, d
!Parameters: 1. excitation (no direct dissociation); 2. direct dissociation; 3. twostep dissociation
!H nuclei concentration [cm-3], nb of times,
! 2.000e+04      13     
!time(s)    total       B1Su_1      B1Su_2      B1Su_3        C1Pu_1      C1Pu_2      C1Pu_3        Bp1Su_1     Bp1Su_2     Bp1Su_3       D1Pu_1      D1Pu_2      D1Pu_3        EF1Sg_1     EF1Sg_2     EF1Sg_3       Bpp1Su_1    Bpp1Su_2    Bpp1Su_3      Dp1Pu_1     Dp1Pu_2     Dp1Pu_3       b3Su_1      b3Su_2      b3Su_3        a3Sg_1      a3Sg_2      a3Sg_3        c3Pu_1      c3Pu_2      c3Pu_3        d3Pu_1      d3Pu_2      d3Pu_3        
0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.000e+01   3.360e-05   1.305e-05   6.456e-08   3.456e-06     1.355e-05   1.758e-07   2.759e-07     1.332e-06   8.706e-07   2.670e-08     1.996e-06   3.323e-08   2.295e-08     9.079e-07   9.118e-09   4.046e-10     3.499e-07   0.000e+00   0.000e+00     1.156e-06   0.000e+00   0.000e+00     0.000e+00   6.604e-08   0.000e+00     6.674e-09   0.000e+00   0.000e+00     2.505e-08   0.000e+00   0.000e+00     6.681e-09   0.000e+00   0.000e+00     
1.080e+01   3.360e-05   1.305e-05   6.456e-08   3.457e-06     1.355e-05   1.758e-07   2.759e-07     1.332e-06   8.707e-07   2.671e-08     1.997e-06   3.323e-08   2.295e-08     9.081e-07   9.120e-09   4.047e-10     3.499e-07   0.000e+00   0.000e+00     1.156e-06   0.000e+00   0.000e+00     0.000e+00   6.671e-08   0.000e+00     6.801e-09   0.000e+00   0.000e+00     2.522e-08   0.000e+00   0.000e+00     6.716e-09   0.000e+00   0.000e+00     
1.166e+01   3.361e-05   1.305e-05   6.457e-08   3.457e-06     1.355e-05   1.758e-07   2.759e-07     1.332e-06   8.708e-07   2.671e-08     1.997e-06   3.323e-08   2.295e-08     9.082e-07   9.122e-09   4.048e-10     3.500e-07   0.000e+00   0.000e+00     1.156e-06   0.000e+00   0.000e+00     0.000e+00   6.744e-08   0.000e+00     6.938e-09   0.000e+00   0.000e+00     2.541e-08   0.000e+00   0.000e+00     6.753e-09   0.000e+00   0.000e+00     
1.259e+01   3.361e-05   1.305e-05   6.457e-08   3.457e-06     1.355e-05   1.758e-07   2.759e-07     1.332e-06   8.708e-07   2.671e-08     1.997e-06   3.324e-08   2.295e-08     9.084e-07   9.124e-09   4.049e-10     3.500e-07   0.000e+00   0.000e+00     1.157e-06   0.000e+00   0.000e+00     0.000e+00   6.822e-08   0.000e+00     7.086e-09   0.000e+00   0.000e+00     2.561e-08   0.000e+00   0.000e+00     6.794e-09   0.000e+00   0.000e+00     
1.359e+01   3.362e-05   1.305e-05   6.458e-08   3.458e-06     1.355e-05   1.758e-07   2.760e-07     1.332e-06   8.709e-07   2.671e-08     1.997e-06   3.324e-08   2.295e-08     9.086e-07   9.126e-09   4.050e-10     3.501e-07   0.000e+00   0.000e+00     1.157e-06   0.000e+00   0.000e+00     0.000e+00   6.907e-08   0.000e+00     7.246e-09   0.000e+00   0.000e+00     2.583e-08   0.000e+00   0.000e+00     6.838e-09   0.000e+00   0.000e+00     
1.468e+01   3.362e-05   1.306e-05   6.458e-08   3.458e-06     1.356e-05   1.759e-07   2.760e-07     1.332e-06   8.710e-07   2.672e-08     1.997e-06   3.324e-08   2.295e-08     9.089e-07   9.129e-09   4.051e-10     3.501e-07   0.000e+00   0.000e+00     1.157e-06   0.000e+00   0.000e+00     0.000e+00   6.998e-08   0.000e+00     7.419e-09   0.000e+00   0.000e+00     2.606e-08   0.000e+00   0.000e+00     6.885e-09   0.000e+00   0.000e+00     
1.585e+01   3.363e-05   1.306e-05   6.459e-08   3.459e-06     1.356e-05   1.759e-07   2.760e-07     1.333e-06   8.711e-07   2.672e-08     1.998e-06   3.325e-08   2.296e-08     9.091e-07   9.131e-09   4.052e-10     3.501e-07   0.000e+00   0.000e+00     1.157e-06   0.000e+00   0.000e+00     0.000e+00   7.097e-08   0.000e+00     7.606e-09   0.000e+00   0.000e+00     2.632e-08   0.000e+00   0.000e+00     6.936e-09   0.000e+00   0.000e+00     
1.711e+01   3.363e-05   1.306e-05   6.460e-08   3.459e-06     1.356e-05   1.759e-07   2.761e-07     1.333e-06   8.712e-07   2.672e-08     1.998e-06   3.325e-08   2.296e-08     9.094e-07   9.134e-09   4.053e-10     3.502e-07   0.000e+00   0.000e+00     1.157e-06   0.000e+00   0.000e+00     0.000e+00   7.203e-08   0.000e+00     7.807e-09   0.000e+00   0.000e+00     2.659e-08   0.000e+00   0.000e+00     6.992e-09   0.000e+00   0.000e+00     
1.848e+01   3.364e-05   1.306e-05   6.460e-08   3.460e-06     1.356e-05   1.759e-07   2.761e-07     1.333e-06   8.713e-07   2.673e-08     1.998e-06   3.325e-08   2.296e-08     9.096e-07   9.137e-09   4.054e-10     3.502e-07   0.000e+00   0.000e+00     1.157e-06   0.000e+00   0.000e+00     0.000e+00   7.318e-08   0.000e+00     8.024e-09   0.000e+00   0.000e+00     2.688e-08   0.000e+00   0.000e+00     7.051e-09   0.000e+00   0.000e+00     
