!Number of dissociations/excitations up to a given time [cm-3],
!el_int    - excitation to all H2 electronic states (without excitations to dissociation continuum, without triplet states);
!vibr_int  - excitation to vibrational states within the ground electronic state, vi = 0 -> vf > 0;
!rot_int   - pure rotational excitations from v = 0, j = 0 and j = 1 to level with j > 1;
!el_bs_int - excitation to B 1S+u H2 electronic state;
!el_bps_int- excitation to B-primed 1S+u H2 electronic state;
!el_cp_int - excitation to C 1Pu H2 electronic state;
!el_dp_int - excitation to D 1Pu H2 electronic state;
!v1_int    - excitation vi = 0 -> vf = 1 within the ground electronic state;
!v2_int    - excitation vi = 0,1 -> vf = 2 within the ground electronic state;
!v3_int    - excitation vi = 0,1,2 -> vf = 3 within the ground electronic state;
!v_int     - electronic excitation of v state of the ground electronic state, v = 3
!hei_int   - HeI excitation [cm-3];
!H nuclei concentration [cm-3], nb of times,
! 2.000000e+04   78     
!time(s)     el_int      vibr_int    rot_int     el_bs_int   el_bps_int  el_cp_int   el_dp_int   v1_int      v2_int      v3_int      v_int       hei_int     
0.000e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    0.00e+00    
1.000e+01    1.30e-02    4.48e-08    1.54e-07    1.54e-05    1.53e-04    1.61e-04    1.71e-05    4.13e-08    3.06e-09    3.51e-10    3.17e-05    1.70e-13    
1.080e+01    1.41e-02    5.22e-08    1.79e-07    1.67e-05    1.65e-04    1.74e-04    1.84e-05    4.81e-08    3.56e-09    4.09e-10    3.43e-05    1.84e-13    
1.166e+01    1.52e-02    6.09e-08    2.09e-07    1.80e-05    1.79e-04    1.88e-04    1.99e-05    5.61e-08    4.16e-09    4.77e-10    3.70e-05    1.98e-13    
1.259e+01    1.65e-02    7.10e-08    2.43e-07    1.95e-05    1.93e-04    2.03e-04    2.15e-05    6.54e-08    4.85e-09    5.56e-10    4.00e-05    2.14e-13    
1.359e+01    1.78e-02    8.28e-08    2.84e-07    2.11e-05    2.09e-04    2.19e-04    2.33e-05    7.63e-08    5.65e-09    6.49e-10    4.32e-05    2.31e-13    
1.468e+01    1.93e-02    9.65e-08    3.31e-07    2.27e-05    2.25e-04    2.37e-04    2.51e-05    8.89e-08    6.59e-09    7.57e-10    4.67e-05    2.50e-13    
1.585e+01    2.08e-02    1.13e-07    3.86e-07    2.46e-05    2.43e-04    2.56e-04    2.72e-05    1.04e-07    7.68e-09    8.82e-10    5.05e-05    2.70e-13    
1.711e+01    2.25e-02    1.31e-07    4.50e-07    2.65e-05    2.63e-04    2.77e-04    2.93e-05    1.21e-07    8.96e-09    1.03e-09    5.45e-05    2.92e-13    
1.848e+01    2.43e-02    1.53e-07    5.25e-07    2.87e-05    2.84e-04    2.99e-04    3.17e-05    1.41e-07    1.04e-08    1.20e-09    5.89e-05    3.15e-13    
1.995e+01    2.63e-02    1.78e-07    6.12e-07    3.10e-05    3.07e-04    3.23e-04    3.42e-05    1.64e-07    1.22e-08    1.40e-09    6.36e-05    3.41e-13    
2.154e+01    2.84e-02    2.08e-07    7.13e-07    3.35e-05    3.32e-04    3.49e-04    3.70e-05    1.92e-07    1.42e-08    1.63e-09    6.87e-05    3.68e-13    
2.326e+01    3.07e-02    2.43e-07    8.32e-07    3.61e-05    3.58e-04    3.77e-04    3.99e-05    2.23e-07    1.66e-08    1.90e-09    7.42e-05    3.97e-13    
2.512e+01    3.32e-02    2.83e-07    9.70e-07    3.90e-05    3.87e-04    4.07e-04    4.31e-05    2.61e-07    1.93e-08    2.22e-09    8.02e-05    4.29e-13    
2.712e+01    3.59e-02    3.30e-07    1.13e-06    4.22e-05    4.18e-04    4.40e-04    4.66e-05    3.04e-07    2.25e-08    2.59e-09    8.66e-05    4.64e-13    
2.929e+01    3.87e-02    3.84e-07    1.32e-06    4.56e-05    4.51e-04    4.75e-04    5.03e-05    3.54e-07    2.62e-08    3.01e-09    9.36e-05    5.01e-13    
3.162e+01    4.19e-02    4.48e-07    1.54e-06    4.92e-05    4.88e-04    5.13e-04    5.44e-05    4.13e-07    3.06e-08    3.51e-09    1.01e-04    5.41e-13    
3.415e+01    4.53e-02    5.23e-07    1.79e-06    5.32e-05    5.27e-04    5.54e-04    5.87e-05    4.82e-07    3.57e-08    4.10e-09    1.09e-04    5.84e-13    
3.687e+01    4.89e-02    6.10e-07    2.09e-06    5.74e-05    5.69e-04    5.98e-04    6.34e-05    5.62e-07    4.16e-08    4.78e-09    1.18e-04    6.31e-13    
3.981e+01    5.29e-02    7.11e-07    2.44e-06    6.20e-05    6.15e-04    6.46e-04    6.85e-05    6.55e-07    4.85e-08    5.57e-09    1.27e-04    6.82e-13    
4.299e+01    5.71e-02    8.29e-07    2.84e-06    6.70e-05    6.64e-04    6.98e-04    7.40e-05    7.64e-07    5.66e-08    6.50e-09    1.38e-04    7.36e-13    
4.642e+01    6.18e-02    9.67e-07    3.32e-06    7.23e-05    7.17e-04    7.54e-04    7.99e-05    8.91e-07    6.60e-08    7.58e-09    1.49e-04    7.95e-13    
5.012e+01    6.67e-02    1.13e-06    3.87e-06    7.81e-05    7.74e-04    8.14e-04    8.63e-05    1.04e-06    7.70e-08    8.84e-09    1.61e-04    8.59e-13    
5.412e+01    7.21e-02    1.31e-06    4.51e-06    8.44e-05    8.37e-04    8.80e-04    9.32e-05    1.21e-06    8.98e-08    1.03e-08    1.73e-04    9.28e-13    
5.843e+01    7.80e-02    1.53e-06    5.26e-06    9.12e-05    9.04e-04    9.50e-04    1.01e-04    1.41e-06    1.05e-07    1.20e-08    1.87e-04    1.00e-12    
6.310e+01    8.43e-02    1.79e-06    6.13e-06    9.85e-05    9.76e-04    1.03e-03    1.09e-04    1.65e-06    1.22e-07    1.40e-08    2.02e-04    1.08e-12    
6.813e+01    9.11e-02    2.09e-06    7.15e-06    1.06e-04    1.05e-03    1.11e-03    1.17e-04    1.92e-06    1.42e-07    1.63e-08    2.18e-04    1.17e-12    
7.356e+01    9.84e-02    2.43e-06    8.34e-06    1.15e-04    1.14e-03    1.20e-03    1.27e-04    2.24e-06    1.66e-07    1.91e-08    2.36e-04    1.26e-12    
7.943e+01    1.06e-01    2.84e-06    9.73e-06    1.24e-04    1.23e-03    1.29e-03    1.37e-04    2.61e-06    1.94e-07    2.22e-08    2.55e-04    1.36e-12    
8.577e+01    1.15e-01    3.31e-06    1.13e-05    1.34e-04    1.33e-03    1.40e-03    1.48e-04    3.05e-06    2.26e-07    2.59e-08    2.75e-04    1.47e-12    
9.261e+01    1.24e-01    3.86e-06    1.32e-05    1.45e-04    1.44e-03    1.51e-03    1.60e-04    3.55e-06    2.63e-07    3.03e-08    2.97e-04    1.59e-12    
