!Excitation rates,
!h2_exc_el- H2 electronic excitation rate, in [cm-3 s-1],
!h2_exc_v - H2 vibrational excitation rate, vi = 0 -> vf > 0 (within the ground electronic state), in [cm-3 s-1],
!h2_exc_r - H2 pure rotational excitation within v = 0, ji = 0,1 -> jf > 1, in [cm-3 s-1],
!H nuclei concentration [cm-3], nb of times,
! 2.000000e+04   78     
!time(s)     h2_exc_el   h2_exc_v    h2_exc_r    
0.000e+00    0.00e+00    0.00e+00    0.00e+00    
1.000e+01    1.32e-03    8.96e-09    3.07e-08    
1.080e+01    1.32e-03    9.67e-09    3.32e-08    
1.166e+01    1.32e-03    1.04e-08    3.58e-08    
1.259e+01    1.33e-03    1.13e-08    3.87e-08    
1.359e+01    1.33e-03    1.22e-08    4.18e-08    
1.468e+01    1.33e-03    1.32e-08    4.51e-08    
1.585e+01    1.33e-03    1.42e-08    4.87e-08    
1.711e+01    1.33e-03    1.53e-08    5.26e-08    
1.848e+01    1.33e-03    1.66e-08    5.68e-08    
1.995e+01    1.33e-03    1.79e-08    6.14e-08    
2.154e+01    1.33e-03    1.93e-08    6.63e-08    
2.326e+01    1.34e-03    2.09e-08    7.16e-08    
2.512e+01    1.34e-03    2.25e-08    7.73e-08    
2.712e+01    1.34e-03    2.43e-08    8.35e-08    
2.929e+01    1.34e-03    2.63e-08    9.01e-08    
3.162e+01    1.34e-03    2.84e-08    9.73e-08    
3.415e+01    1.34e-03    3.06e-08    1.05e-07    
3.687e+01    1.34e-03    3.31e-08    1.14e-07    
3.981e+01    1.34e-03    3.58e-08    1.23e-07    
4.299e+01    1.35e-03    3.86e-08    1.32e-07    
4.642e+01    1.35e-03    4.17e-08    1.43e-07    
5.012e+01    1.35e-03    4.50e-08    1.55e-07    
5.412e+01    1.35e-03    4.87e-08    1.67e-07    
5.843e+01    1.35e-03    5.26e-08    1.80e-07    
6.310e+01    1.35e-03    5.68e-08    1.95e-07    
6.813e+01    1.35e-03    6.13e-08    2.10e-07    
7.356e+01    1.35e-03    6.62e-08    2.27e-07    
7.943e+01    1.36e-03    7.16e-08    2.46e-07    
8.577e+01    1.36e-03    7.73e-08    2.65e-07    
9.261e+01    1.36e-03    8.35e-08    2.87e-07    
1.000e+02    1.36e-03    9.03e-08    3.10e-07    
1.080e+02    1.36e-03    9.75e-08    3.35e-07    
1.166e+02    1.36e-03    1.05e-07    3.62e-07    
1.259e+02    1.36e-03    1.14e-07    3.91e-07    
1.359e+02    1.36e-03    1.23e-07    4.22e-07    
1.468e+02    1.37e-03    1.33e-07    4.56e-07    
1.585e+02    1.37e-03    1.44e-07    4.93e-07    
1.711e+02    1.37e-03    1.55e-07    5.33e-07    
1.848e+02    1.37e-03    1.68e-07    5.76e-07    
1.995e+02    1.37e-03    1.82e-07    6.23e-07    
2.154e+02    1.37e-03    1.96e-07    6.74e-07    
2.326e+02    1.37e-03    2.12e-07    7.28e-07    
2.512e+02    1.38e-03    2.30e-07    7.88e-07    
2.712e+02    1.38e-03    2.48e-07    8.52e-07    
2.929e+02    1.38e-03    2.69e-07    9.22e-07    
3.162e+02    1.38e-03    2.90e-07    9.97e-07    
3.415e+02    1.38e-03    3.14e-07    1.08e-06    
3.687e+02    1.39e-03    3.40e-07    1.17e-06    
3.981e+02    1.39e-03    3.68e-07    1.26e-06    
4.299e+02    1.39e-03    3.98e-07    1.37e-06    
4.642e+02    1.39e-03    4.31e-07    1.48e-06    
5.012e+02    1.39e-03    4.67e-07    1.60e-06    
5.412e+02    1.39e-03    5.06e-07    1.74e-06    
5.843e+02    1.40e-03    5.48e-07    1.88e-06    
6.310e+02    1.40e-03    5.94e-07    2.04e-06    
6.813e+02    1.40e-03    6.44e-07    2.21e-06    
7.356e+02    1.40e-03    6.98e-07    2.40e-06    
7.943e+02    1.40e-03    7.57e-07    2.60e-06    
8.577e+02    1.41e-03    8.21e-07    2.82e-06    
9.261e+02    1.41e-03    8.91e-07    3.06e-06    
1.000e+03    1.41e-03    9.68e-07    3.33e-06    
1.080e+03    1.42e-03    1.05e-06    3.61e-06    
1.166e+03    1.42e-03    1.14e-06    3.93e-06    
1.259e+03    1.42e-03    1.24e-06    4.27e-06    
1.359e+03    1.42e-03    1.35e-06    4.64e-06    
1.468e+03    1.42e-03    1.47e-06    5.05e-06    
1.585e+03    1.43e-03    1.60e-06    5.50e-06    
1.711e+03    1.43e-03    1.74e-06    5.99e-06    
1.848e+03    1.43e-03    1.90e-06    6.53e-06    
1.995e+03    1.44e-03    2.07e-06    7.12e-06    
2.154e+03    1.44e-03    2.25e-06    7.76e-06    
2.326e+03    1.44e-03    2.46e-06    8.48e-06    
2.512e+03    1.45e-03    2.69e-06    9.26e-06    
2.712e+03    1.45e-03    2.94e-06    1.01e-05    
2.929e+03    1.46e-03    3.21e-06    1.11e-05    
3.162e+03    1.46e-03    3.51e-06    1.21e-05    
3.415e+03    1.47e-03    3.84e-06    1.33e-05    
