!Physical parameters,
!temp_n - temperature of neutral component [K],
!temp_i - ion temperature [K],
!dcharge - charge of dust grains [cm-3],
!conc_e - concentration of electrons [cm-3]
!H nuclei concentration [cm-3], nb of times,
! 2.000000e+04   78     
!time(s)     temp_n(K)   temp_i(K)   dcharge     conc_e      
0.000e+00    1.00e+01    1.00e+01    0.00e+00    0.00e+00    
1.000e+01    1.00e+01    1.00e+01    0.00e+00    4.42e-04    
1.080e+01    1.00e+01    1.00e+01    0.00e+00    4.78e-04    
1.166e+01    1.00e+01    1.00e+01    0.00e+00    5.16e-04    
1.259e+01    1.00e+01    1.00e+01    0.00e+00    5.57e-04    
1.359e+01    1.00e+01    1.00e+01    0.00e+00    6.01e-04    
1.468e+01    1.00e+01    1.00e+01    0.00e+00    6.49e-04    
1.585e+01    1.00e+01    1.00e+01    0.00e+00    7.01e-04    
1.711e+01    1.00e+01    1.00e+01    0.00e+00    7.57e-04    
1.848e+01    1.00e+01    1.00e+01    0.00e+00    8.17e-04    
1.995e+01    1.00e+01    1.00e+01    0.00e+00    8.83e-04    
2.154e+01    1.00e+01    1.00e+01    0.00e+00    9.53e-04    
2.326e+01    1.00e+01    1.00e+01    0.00e+00    1.03e-03    
2.512e+01    1.00e+01    1.00e+01    0.00e+00    1.11e-03    
2.712e+01    1.00e+01    1.00e+01    0.00e+00    1.20e-03    
2.929e+01    1.00e+01    1.00e+01    0.00e+00    1.30e-03    
3.162e+01    1.00e+01    1.00e+01    0.00e+00    1.40e-03    
3.415e+01    1.00e+01    1.00e+01    0.00e+00    1.51e-03    
3.687e+01    1.00e+01    1.00e+01    0.00e+00    1.63e-03    
3.981e+01    1.00e+01    1.00e+01    0.00e+00    1.76e-03    
4.299e+01    1.00e+01    1.00e+01    0.00e+00    1.90e-03    
4.642e+01    1.00e+01    1.00e+01    0.00e+00    2.06e-03    
5.012e+01    1.00e+01    1.00e+01    0.00e+00    2.22e-03    
5.412e+01    1.00e+01    1.00e+01    0.00e+00    2.40e-03    
5.843e+01    1.00e+01    1.00e+01    0.00e+00    2.59e-03    
6.310e+01    1.00e+01    1.00e+01    0.00e+00    2.80e-03    
6.813e+01    1.00e+01    1.00e+01    0.00e+00    3.02e-03    
7.356e+01    1.00e+01    1.00e+01    0.00e+00    3.26e-03    
7.943e+01    1.00e+01    1.00e+01    0.00e+00    3.52e-03    
8.577e+01    1.00e+01    1.00e+01    0.00e+00    3.81e-03    
9.261e+01    1.00e+01    1.00e+01    0.00e+00    4.11e-03    
1.000e+02    1.00e+01    1.00e+01    0.00e+00    4.44e-03    
1.080e+02    1.00e+01    1.00e+01    0.00e+00    4.79e-03    
1.166e+02    1.00e+01    1.00e+01    0.00e+00    5.18e-03    
1.259e+02    1.00e+01    1.00e+01    0.00e+00    5.59e-03    
1.359e+02    1.00e+01    1.00e+01    0.00e+00    6.04e-03    
1.468e+02    1.00e+01    1.00e+01    0.00e+00    6.53e-03    
1.585e+02    1.00e+01    1.00e+01    0.00e+00    7.05e-03    
1.711e+02    1.00e+01    1.00e+01    0.00e+00    7.62e-03    
1.848e+02    1.00e+01    1.00e+01    0.00e+00    8.23e-03    
1.995e+02    1.00e+01    1.00e+01    0.00e+00    8.89e-03    
2.154e+02    1.00e+01    1.00e+01    0.00e+00    9.61e-03    
2.326e+02    1.00e+01    1.00e+01    0.00e+00    1.04e-02    
2.512e+02    1.00e+01    1.00e+01    0.00e+00    1.12e-02    
2.712e+02    1.00e+01    1.00e+01    0.00e+00    1.21e-02    
2.929e+02    1.00e+01    1.00e+01    0.00e+00    1.31e-02    
3.162e+02    1.00e+01    1.00e+01    0.00e+00    1.42e-02    
3.415e+02    1.00e+01    1.00e+01    0.00e+00    1.53e-02    
3.687e+02    1.00e+01    1.00e+01    0.00e+00    1.65e-02    
3.981e+02    1.00e+01    1.00e+01    0.00e+00    1.79e-02    
4.299e+02    1.00e+01    1.00e+01    0.00e+00    1.93e-02    
4.642e+02    1.00e+01    1.00e+01    0.00e+00    2.09e-02    
5.012e+02    1.00e+01    1.00e+01    0.00e+00    2.26e-02    
5.412e+02    1.00e+01    1.00e+01    0.00e+00    2.45e-02    
5.843e+02    1.00e+01    1.00e+01    0.00e+00    2.64e-02    
6.310e+02    1.00e+01    1.00e+01    0.00e+00    2.86e-02    
6.813e+02    1.00e+01    1.00e+01    0.00e+00    3.10e-02    
7.356e+02    1.00e+01    1.00e+01    0.00e+00    3.35e-02    
7.943e+02    1.00e+01    1.00e+01    0.00e+00    3.62e-02    
8.577e+02    1.00e+01    1.00e+01    0.00e+00    3.92e-02    
9.261e+02    1.00e+01    1.00e+01    0.00e+00    4.25e-02    
1.000e+03    1.00e+01    1.00e+01    0.00e+00    4.60e-02    
1.080e+03    1.00e+01    1.00e+01    0.00e+00    4.98e-02    
1.166e+03    1.00e+01    1.00e+01    0.00e+00    5.39e-02    
1.259e+03    1.00e+01    1.00e+01    0.00e+00    5.84e-02    
1.359e+03    1.00e+01    1.00e+01    0.00e+00    6.33e-02    
1.468e+03    1.00e+01    1.00e+01    0.00e+00    6.86e-02    
1.585e+03    1.00e+01    1.00e+01    0.00e+00    7.44e-02    
1.711e+03    1.00e+01    1.00e+01    0.00e+00    8.07e-02    
1.848e+03    1.00e+01    1.00e+01    0.00e+00    8.75e-02    
1.995e+03    1.00e+01    1.00e+01    0.00e+00    9.49e-02    
2.154e+03    1.00e+01    1.00e+01    0.00e+00    1.03e-01    
2.326e+03    1.00e+01    1.00e+01    0.00e+00    1.12e-01    
2.512e+03    1.00e+01    1.00e+01    0.00e+00    1.21e-01    
2.712e+03    1.00e+01    1.00e+01    0.00e+00    1.32e-01    
2.929e+03    1.00e+01    1.00e+01    0.00e+00    1.43e-01    
3.162e+03    1.00e+01    1.00e+01    0.00e+00    1.56e-01    
3.415e+03    1.00e+01    1.00e+01    0.00e+00    1.69e-01    
