!Evolution of concentrations of chemical species,
!first row: H nuclei concentration [cm-3], nb of times, number of species,
!second row: specimen list,
! 2.000000e+04   13     8      
!time(s)     e-          H           H+          H2          H2+         He          He+         He++        
0.0000e+00   1.000e-99   1.000e-99   1.000e-99   1.000e+04   1.000e-99   2.000e-05   1.000e-99   1.000e-99   
1.0000e+01   4.422e-04   1.245e-04   2.464e-05   1.000e+04   4.176e-04   2.000e-05   5.035e-13   1.108e-21   
1.0798e+01   4.775e-04   1.345e-04   2.660e-05   1.000e+04   4.509e-04   2.000e-05   5.436e-13   1.291e-21   
1.1659e+01   5.157e-04   1.452e-04   2.873e-05   1.000e+04   4.869e-04   2.000e-05   5.870e-13   1.506e-21   
1.2589e+01   5.568e-04   1.568e-04   3.102e-05   1.000e+04   5.258e-04   2.000e-05   6.339e-13   1.756e-21   
1.3594e+01   6.013e-04   1.694e-04   3.350e-05   1.000e+04   5.678e-04   2.000e-05   6.844e-13   2.047e-21   
1.4678e+01   6.493e-04   1.829e-04   3.617e-05   1.000e+04   6.131e-04   2.000e-05   7.391e-13   2.387e-21   
1.5849e+01   7.011e-04   1.975e-04   3.906e-05   1.000e+04   6.620e-04   2.000e-05   7.980e-13   2.783e-21   
1.7113e+01   7.571e-04   2.133e-04   4.218e-05   1.000e+04   7.149e-04   2.000e-05   8.617e-13   3.245e-21   
1.8478e+01   8.175e-04   2.304e-04   4.554e-05   1.000e+04   7.719e-04   2.000e-05   9.305e-13   3.783e-21   
1.9953e+01   8.828e-04   2.488e-04   4.918e-05   1.000e+04   8.336e-04   2.000e-05   1.005e-12   4.411e-21   
2.1544e+01   9.532e-04   2.687e-04   5.311e-05   1.000e+04   9.001e-04   2.000e-05   1.085e-12   5.143e-21   
2.3263e+01   1.029e-03   2.902e-04   5.735e-05   1.000e+04   9.720e-04   2.000e-05   1.172e-12   5.997e-21   
