!Rates of dissociations/excitations for each of the electronic states [cm-3 s-1],
!total - rate of excitation to all H2 electronic states (WITH excitations to dissociation continuum);
!Electronic states: B, C, Bp, D, EF, Bpp, Dp, b, a, c, d
!Parameters: 1. excitation (no direct dissociation); 2. direct dissociation; 3. two-step dissociation
!H nuclei concentration [cm-3], nb of times,
! 2.000e+04      151    
!time(s)    total       B1Su_1      B1Su_2      B1Su_3        C1Pu_1      C1Pu_2      C1Pu_3        Bp1Su_1     Bp1Su_2     Bp1Su_3       D1Pu_1      D1Pu_2      D1Pu_3        EF1Sg_1     EF1Sg_2     EF1Sg_3       Bpp1Su_1    Bpp1Su_2    Bpp1Su_3      Dp1Pu_1     Dp1Pu_2     Dp1Pu_3       b3Su_1      b3Su_2      b3Su_3        a3Sg_1      a3Sg_2      a3Sg_3        c3Pu_1      c3Pu_2      c3Pu_3        d3Pu_1      d3Pu_2      d3Pu_3        triplet_1   triplet_2   triplet_3     
0.000e+00   4.858e-06   1.890e-06   8.829e-09   4.896e-07     1.891e-06   2.352e-08   3.727e-08     1.963e-07   1.213e-07   3.820e-09     2.728e-07   4.333e-09   2.954e-09     1.877e-07   1.974e-09   1.048e-08     5.156e-08   0.000e+00   0.000e+00     1.569e-07   0.000e+00   0.000e+00     0.000e+00   3.423e-08   0.000e+00     2.792e-09   0.000e+00   0.000e+00     1.129e-08   0.000e+00   0.000e+00     3.106e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.000e+01   4.859e-06   1.890e-06   8.824e-09   4.895e-07     1.890e-06   2.351e-08   3.725e-08     1.962e-07   1.213e-07   3.819e-09     2.727e-07   4.329e-09   2.951e-09     1.879e-07   1.975e-09   1.049e-08     5.155e-08   0.000e+00   0.000e+00     1.568e-07   0.000e+00   0.000e+00     0.000e+00   3.562e-08   0.000e+00     3.049e-09   0.000e+00   0.000e+00     1.169e-08   0.000e+00   0.000e+00     3.192e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.080e+01   4.859e-06   1.890e-06   8.823e-09   4.895e-07     1.890e-06   2.351e-08   3.725e-08     1.962e-07   1.213e-07   3.819e-09     2.726e-07   4.328e-09   2.951e-09     1.879e-07   1.975e-09   1.049e-08     5.155e-08   0.000e+00   0.000e+00     1.568e-07   0.000e+00   0.000e+00     0.000e+00   3.574e-08   0.000e+00     3.070e-09   0.000e+00   0.000e+00     1.172e-08   0.000e+00   0.000e+00     3.199e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.166e+01   4.859e-06   1.890e-06   8.823e-09   4.895e-07     1.890e-06   2.351e-08   3.725e-08     1.962e-07   1.213e-07   3.818e-09     2.726e-07   4.328e-09   2.951e-09     1.879e-07   1.976e-09   1.049e-08     5.154e-08   0.000e+00   0.000e+00     1.568e-07   0.000e+00   0.000e+00     0.000e+00   3.586e-08   0.000e+00     3.092e-09   0.000e+00   0.000e+00     1.175e-08   0.000e+00   0.000e+00     3.206e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.259e+01   4.859e-06   1.890e-06   8.822e-09   4.894e-07     1.890e-06   2.350e-08   3.725e-08     1.962e-07   1.213e-07   3.818e-09     2.726e-07   4.328e-09   2.951e-09     1.879e-07   1.976e-09   1.049e-08     5.154e-08   0.000e+00   0.000e+00     1.568e-07   0.000e+00   0.000e+00     0.000e+00   3.599e-08   0.000e+00     3.116e-09   0.000e+00   0.000e+00     1.179e-08   0.000e+00   0.000e+00     3.214e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.359e+01   4.859e-06   1.890e-06   8.822e-09   4.894e-07     1.890e-06   2.350e-08   3.724e-08     1.962e-07   1.213e-07   3.818e-09     2.726e-07   4.327e-09   2.951e-09     1.879e-07   1.976e-09   1.049e-08     5.154e-08   0.000e+00   0.000e+00     1.568e-07   0.000e+00   0.000e+00     0.000e+00   3.613e-08   0.000e+00     3.142e-09   0.000e+00   0.000e+00     1.183e-08   0.000e+00   0.000e+00     3.223e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.468e+01   4.859e-06   1.890e-06   8.821e-09   4.894e-07     1.890e-06   2.350e-08   3.724e-08     1.962e-07   1.213e-07   3.818e-09     2.726e-07   4.327e-09   2.950e-09     1.879e-07   1.976e-09   1.049e-08     5.154e-08   0.000e+00   0.000e+00     1.568e-07   0.000e+00   0.000e+00     0.000e+00   3.628e-08   0.000e+00     3.170e-09   0.000e+00   0.000e+00     1.187e-08   0.000e+00   0.000e+00     3.232e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.585e+01   4.859e-06   1.890e-06   8.821e-09   4.894e-07     1.890e-06   2.350e-08   3.724e-08     1.962e-07   1.212e-07   3.818e-09     2.725e-07   4.326e-09   2.950e-09     1.880e-07   1.976e-09   1.049e-08     5.154e-08   0.000e+00   0.000e+00     1.568e-07   0.000e+00   0.000e+00     0.000e+00   3.644e-08   0.000e+00     3.200e-09   0.000e+00   0.000e+00     1.192e-08   0.000e+00   0.000e+00     3.243e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.711e+01   4.859e-06   1.890e-06   8.820e-09   4.894e-07     1.890e-06   2.350e-08   3.724e-08     1.962e-07   1.212e-07   3.817e-09     2.725e-07   4.326e-09   2.950e-09     1.880e-07   1.976e-09   1.049e-08     5.153e-08   0.000e+00   0.000e+00     1.567e-07   0.000e+00   0.000e+00     0.000e+00   3.662e-08   0.000e+00     3.232e-09   0.000e+00   0.000e+00     1.197e-08   0.000e+00   0.000e+00     3.254e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
1.848e+01   4.859e-06   1.890e-06   8.819e-09   4.894e-07     1.890e-06   2.349e-08   3.724e-08     1.962e-07   1.212e-07   3.817e-09     2.725e-07   4.325e-09   2.950e-09     1.880e-07   1.976e-09   1.049e-08     5.153e-08   0.000e+00   0.000e+00     1.567e-07   0.000e+00   0.000e+00     0.000e+00   3.681e-08   0.000e+00     3.267e-09   0.000e+00   0.000e+00     1.202e-08   0.000e+00   0.000e+00     3.265e-09   0.000e+00   0.000e+00     0.000e+00   0.000e+00   0.000e+00     
