!Energy losses of electrons, parameter < 0 if electrons lose energy, integrated up to a given time [eV cm-3],
!tot_int - total integrated losses,
!rot_int - pure H2 rotational excitation, only transitions with the same vibrational quantum nb,
!vibr_int - H2 ro-vibrational excitation (within the ground electronic state, including pure rotational transitions),
!vibr01_int - H2 ro-vibrational excitation v = 0 -> 1 (within the ground electronic state),
!elec_s_int - due to H2 electronic states excitation (singlet), including dissociative excitation,
!elec_t_int - due to H2 electronic states excitation (triplet), including dissociative excitation,
!ion_int - molecule/atom ionization,
!hei_int - HeI excitation by electron impact,
!mt_int - momentum transfer, 
!ecoul_int - Coulomb loses on electrons,
!ncoll_int - neutral heating rate due to collisions H2-H2, H2-He,
!ndiss_int - neutral heating rate due to H2 dissociation (two-step dissociation, triplet excitation), > 0
! H nuclei concentration [cm-3], nb of times,
! 2.000e+04      151    
!time(s)    tot_int     rot_int     vibr_int    vibr01_int  elec_s_int  elec_t_int  ion_int     hei_int     mt_int      ecoul_int   ncoll_int   ndiss_int   
0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   0.000e+00   
1.000e+01   -1.481e-03  -2.524e-07  -2.559e-07  -3.002e-09  -6.267e-04  -4.718e-06  -8.486e-04  -4.261e-13  -4.330e-07  0.000e+00   4.438e-15   4.829e-06   
1.080e+01   -1.599e-03  -2.727e-07  -2.768e-07  -3.500e-09  -6.767e-04  -5.103e-06  -9.163e-04  -4.601e-13  -4.676e-07  0.000e+00   5.176e-15   5.218e-06   
1.166e+01   -1.726e-03  -2.947e-07  -2.995e-07  -4.081e-09  -7.307e-04  -5.519e-06  -9.893e-04  -4.968e-13  -5.050e-07  0.000e+00   6.036e-15   5.640e-06   
1.259e+01   -1.864e-03  -3.184e-07  -3.240e-07  -4.759e-09  -7.890e-04  -5.971e-06  -1.068e-03  -5.364e-13  -5.455e-07  0.000e+00   7.039e-15   6.095e-06   
1.359e+01   -2.013e-03  -3.441e-07  -3.506e-07  -5.548e-09  -8.519e-04  -6.460e-06  -1.153e-03  -5.792e-13  -5.891e-07  0.000e+00   8.210e-15   6.588e-06   
1.468e+01   -2.173e-03  -3.718e-07  -3.794e-07  -6.469e-09  -9.198e-04  -6.991e-06  -1.245e-03  -6.254e-13  -6.363e-07  0.000e+00   9.575e-15   7.122e-06   
1.585e+01   -2.347e-03  -4.018e-07  -4.107e-07  -7.542e-09  -9.932e-04  -7.566e-06  -1.345e-03  -6.753e-13  -6.873e-07  0.000e+00   1.117e-14   7.699e-06   
1.711e+01   -2.534e-03  -4.343e-07  -4.447e-07  -8.794e-09  -1.072e-03  -8.191e-06  -1.452e-03  -7.291e-13  -7.424e-07  0.000e+00   1.303e-14   8.324e-06   
1.848e+01   -2.736e-03  -4.695e-07  -4.815e-07  -1.025e-08  -1.158e-03  -8.868e-06  -1.568e-03  -7.872e-13  -8.019e-07  0.000e+00   1.519e-14   9.000e-06   
1.995e+01   -2.954e-03  -5.075e-07  -5.216e-07  -1.196e-08  -1.250e-03  -9.604e-06  -1.693e-03  -8.500e-13  -8.663e-07  0.000e+00   1.772e-14   9.733e-06   
2.154e+01   -3.190e-03  -5.486e-07  -5.651e-07  -1.394e-08  -1.350e-03  -1.040e-05  -1.828e-03  -9.178e-13  -9.358e-07  0.000e+00   2.067e-14   1.053e-05   
2.326e+01   -3.444e-03  -5.932e-07  -6.123e-07  -1.625e-08  -1.458e-03  -1.127e-05  -1.973e-03  -9.909e-13  -1.011e-06  0.000e+00   2.411e-14   1.139e-05   
2.512e+01   -3.719e-03  -6.414e-07  -6.637e-07  -1.895e-08  -1.574e-03  -1.221e-05  -2.131e-03  -1.070e-12  -1.092e-06  0.000e+00   2.813e-14   1.232e-05   
2.712e+01   -4.015e-03  -6.937e-07  -7.197e-07  -2.210e-08  -1.699e-03  -1.324e-05  -2.301e-03  -1.155e-12  -1.180e-06  0.000e+00   3.282e-14   1.333e-05   
2.929e+01   -4.335e-03  -7.502e-07  -7.806e-07  -2.576e-08  -1.835e-03  -1.436e-05  -2.484e-03  -1.247e-12  -1.275e-06  0.000e+00   3.829e-14   1.442e-05   
3.162e+01   -4.681e-03  -8.115e-07  -8.469e-07  -3.004e-08  -1.981e-03  -1.557e-05  -2.682e-03  -1.347e-12  -1.377e-06  0.000e+00   4.467e-14   1.561e-05   
3.415e+01   -5.054e-03  -8.779e-07  -9.192e-07  -3.503e-08  -2.139e-03  -1.690e-05  -2.896e-03  -1.454e-12  -1.488e-06  0.000e+00   5.212e-14   1.689e-05   
3.687e+01   -5.457e-03  -9.499e-07  -9.980e-07  -4.084e-08  -2.310e-03  -1.834e-05  -3.127e-03  -1.570e-12  -1.608e-06  0.000e+00   6.082e-14   1.829e-05   
3.981e+01   -5.892e-03  -1.028e-06  -1.084e-06  -4.762e-08  -2.494e-03  -1.992e-05  -3.376e-03  -1.695e-12  -1.738e-06  0.000e+00   7.097e-14   1.981e-05   
4.299e+01   -6.362e-03  -1.113e-06  -1.178e-06  -5.552e-08  -2.693e-03  -2.164e-05  -3.645e-03  -1.830e-12  -1.878e-06  0.000e+00   8.282e-14   2.145e-05   
4.642e+01   -6.869e-03  -1.205e-06  -1.281e-06  -6.474e-08  -2.907e-03  -2.352e-05  -3.935e-03  -1.976e-12  -2.030e-06  0.000e+00   9.666e-14   2.324e-05   
5.012e+01   -7.417e-03  -1.304e-06  -1.393e-06  -7.549e-08  -3.139e-03  -2.557e-05  -4.249e-03  -2.133e-12  -2.194e-06  0.000e+00   1.128e-13   2.519e-05   
5.412e+01   -8.008e-03  -1.413e-06  -1.516e-06  -8.802e-08  -3.389e-03  -2.782e-05  -4.587e-03  -2.303e-12  -2.372e-06  0.000e+00   1.317e-13   2.731e-05   
5.843e+01   -8.646e-03  -1.530e-06  -1.651e-06  -1.026e-07  -3.659e-03  -3.028e-05  -4.952e-03  -2.487e-12  -2.564e-06  0.000e+00   1.537e-13   2.961e-05   
6.310e+01   -9.335e-03  -1.658e-06  -1.799e-06  -1.197e-07  -3.951e-03  -3.298e-05  -5.347e-03  -2.685e-12  -2.773e-06  0.000e+00   1.795e-13   3.212e-05   
6.813e+01   -1.008e-02  -1.797e-06  -1.961e-06  -1.396e-07  -4.266e-03  -3.594e-05  -5.773e-03  -2.898e-12  -2.998e-06  0.000e+00   2.096e-13   3.485e-05   
7.356e+01   -1.088e-02  -1.948e-06  -2.140e-06  -1.627e-07  -4.606e-03  -3.919e-05  -6.232e-03  -3.129e-12  -3.242e-06  0.000e+00   2.448e-13   3.782e-05   
7.943e+01   -1.175e-02  -2.113e-06  -2.336e-06  -1.898e-07  -4.973e-03  -4.276e-05  -6.728e-03  -3.378e-12  -3.506e-06  0.000e+00   2.859e-13   4.107e-05   
8.577e+01   -1.269e-02  -2.292e-06  -2.552e-06  -2.213e-07  -5.369e-03  -4.670e-05  -7.264e-03  -3.647e-12  -3.793e-06  0.000e+00   3.339e-13   4.461e-05   
9.261e+01   -1.370e-02  -2.487e-06  -2.791e-06  -2.580e-07  -5.796e-03  -5.103e-05  -7.842e-03  -3.937e-12  -4.103e-06  0.000e+00   3.901e-13   4.848e-05   
1.000e+02   -1.479e-02  -2.700e-06  -3.054e-06  -3.009e-07  -6.258e-03  -5.581e-05  -8.466e-03  -4.250e-12  -4.439e-06  0.000e+00   4.558e-13   5.271e-05   
1.080e+02   -1.596e-02  -2.932e-06  -3.345e-06  -3.509e-07  -6.756e-03  -6.109e-05  -9.139e-03  -4.588e-12  -4.804e-06  0.000e+00   5.327e-13   5.734e-05   
1.166e+02   -1.724e-02  -3.186e-06  -3.667e-06  -4.092e-07  -7.294e-03  -6.693e-05  -9.866e-03  -4.953e-12  -5.199e-06  0.000e+00   6.226e-13   6.241e-05   
1.259e+02   -1.861e-02  -3.463e-06  -4.025e-06  -4.772e-07  -7.874e-03  -7.340e-05  -1.065e-02  -5.347e-12  -5.628e-06  0.000e+00   7.279e-13   6.797e-05   
1.359e+02   -2.009e-02  -3.765e-06  -4.421e-06  -5.565e-07  -8.501e-03  -8.057e-05  -1.150e-02  -5.771e-12  -6.094e-06  0.000e+00   8.511e-13   7.406e-05   
1.468e+02   -2.169e-02  -4.097e-06  -4.861e-06  -6.491e-07  -9.177e-03  -8.853e-05  -1.241e-02  -6.230e-12  -6.599e-06  0.000e+00   9.954e-13   8.075e-05   
1.585e+02   -2.341e-02  -4.460e-06  -5.352e-06  -7.570e-07  -9.907e-03  -9.737e-05  -1.340e-02  -6.724e-12  -7.148e-06  0.000e+00   1.165e-12   8.811e-05   
1.711e+02   -2.528e-02  -4.858e-06  -5.898e-06  -8.828e-07  -1.069e-02  -1.072e-04  -1.446e-02  -7.258e-12  -7.744e-06  0.000e+00   1.363e-12   9.620e-05   
1.848e+02   -2.728e-02  -5.295e-06  -6.508e-06  -1.030e-06  -1.155e-02  -1.182e-04  -1.561e-02  -7.833e-12  -8.393e-06  0.000e+00   1.595e-12   1.051e-04   
1.995e+02   -2.945e-02  -5.775e-06  -7.189e-06  -1.201e-06  -1.246e-02  -1.305e-04  -1.684e-02  -8.454e-12  -9.098e-06  0.000e+00   1.867e-12   1.150e-04   
2.154e+02   -3.179e-02  -6.303e-06  -7.952e-06  -1.401e-06  -1.345e-02  -1.442e-04  -1.818e-02  -9.124e-12  -9.865e-06  0.000e+00   2.187e-12   1.258e-04   
2.326e+02   -3.432e-02  -6.884e-06  -8.808e-06  -1.634e-06  -1.452e-02  -1.596e-04  -1.962e-02  -9.846e-12  -1.070e-05  0.000e+00   2.562e-12   1.378e-04   
2.512e+02   -3.704e-02  -7.524e-06  -9.768e-06  -1.906e-06  -1.567e-02  -1.768e-04  -2.117e-02  -1.063e-11  -1.161e-05  0.000e+00   3.003e-12   1.511e-04   
2.712e+02   -3.998e-02  -8.231e-06  -1.085e-05  -2.223e-06  -1.692e-02  -1.961e-04  -2.285e-02  -1.147e-11  -1.260e-05  0.000e+00   3.521e-12   1.658e-04   
2.929e+02   -4.315e-02  -9.011e-06  -1.206e-05  -2.593e-06  -1.826e-02  -2.179e-04  -2.465e-02  -1.237e-11  -1.368e-05  0.000e+00   4.130e-12   1.822e-04   
3.162e+02   -4.657e-02  -9.875e-06  -1.344e-05  -3.025e-06  -1.970e-02  -2.425e-04  -2.660e-02  -1.335e-11  -1.486e-05  0.000e+00   4.846e-12   2.004e-04   
3.415e+02   -5.026e-02  -1.083e-05  -1.499e-05  -3.529e-06  -2.126e-02  -2.702e-04  -2.870e-02  -1.440e-11  -1.615e-05  0.000e+00   5.689e-12   2.206e-04   
3.687e+02   -5.424e-02  -1.189e-05  -1.674e-05  -4.117e-06  -2.294e-02  -3.014e-04  -3.096e-02  -1.553e-11  -1.756e-05  0.000e+00   6.682e-12   2.432e-04   
3.981e+02   -5.853e-02  -1.307e-05  -1.873e-05  -4.803e-06  -2.476e-02  -3.369e-04  -3.340e-02  -1.675e-11  -1.910e-05  0.000e+00   7.853e-12   2.684e-04   
4.299e+02   -6.315e-02  -1.438e-05  -2.098e-05  -5.604e-06  -2.671e-02  -3.770e-04  -3.602e-02  -1.807e-11  -2.078e-05  0.000e+00   9.234e-12   2.965e-04   
4.642e+02   -6.813e-02  -1.584e-05  -2.354e-05  -6.538e-06  -2.882e-02  -4.226e-04  -3.885e-02  -1.949e-11  -2.263e-05  0.000e+00   1.086e-11   3.280e-04   
5.012e+02   -7.350e-02  -1.746e-05  -2.645e-05  -7.629e-06  -3.108e-02  -4.744e-04  -4.189e-02  -2.101e-11  -2.465e-05  0.000e+00   1.279e-11   3.634e-04   
5.412e+02   -7.928e-02  -1.928e-05  -2.977e-05  -8.902e-06  -3.353e-02  -5.333e-04  -4.517e-02  -2.265e-11  -2.688e-05  0.000e+00   1.507e-11   4.031e-04   
5.843e+02   -8.551e-02  -2.131e-05  -3.355e-05  -1.039e-05  -3.616e-02  -6.005e-04  -4.869e-02  -2.442e-11  -2.932e-05  0.000e+00   1.776e-11   4.477e-04   
6.310e+02   -9.222e-02  -2.359e-05  -3.787e-05  -1.212e-05  -3.899e-02  -6.772e-04  -5.248e-02  -2.631e-11  -3.200e-05  0.000e+00   2.096e-11   4.980e-04   
6.813e+02   -9.943e-02  -2.614e-05  -4.280e-05  -1.415e-05  -4.204e-02  -7.648e-04  -5.655e-02  -2.835e-11  -3.495e-05  0.000e+00   2.474e-11   5.548e-04   
7.356e+02   -1.072e-01  -2.901e-05  -4.846e-05  -1.651e-05  -4.531e-02  -8.650e-04  -6.093e-02  -3.054e-11  -3.820e-05  0.000e+00   2.924e-11   6.189e-04   
