!Energy loss rates of electrons, parameter < 0 if electrons lose energy, rate in [eV cm-3 s-1],
!tot - total rate, 
!rot      - H2 rotational excitation, only transitions with the same vibrational quantum nb,
!rot_pos  - H2 rotational excitation, electrons gain energy,
!vibr     - H2 ro-vibrational excitation (within the ground electronic state, including pure rotational transitions),
!vibr01   - H2 ro-vibrational excitation v = 0 -> 1 (within the ground electronic state),
!vibr_pos - H2 ro-vibrational excitation, electrons gain energy
!elec_s - H2 electronic states excitation (singlet),
!elec_t - H2 electronic states excitation (triplet),
!ion - molecule/atom ionization,
!hei - HeI excitation by electron impact
!mt - momentum transfer, 
!ecoul - Coulomb loses on electrons,
!ncoll - neutral heating rate due to collisions H2-H2, H2-He,
!ndiss - neutral heating rate due to H2 dissociation (two-step dissociation, triplet excitation), > 0
!H nuclei concentration [cm-3], nb of times,
! 2.000e+04      151    
!time(s)    tot         rot         rot_pos     vibr        vibr01      vibr_pos    elec_s      elec_t      ion         hei         mt          ecoul       ncoll       ndiss       
0.000e+00   -1.481e-04  -2.505e-08  0.000e+00   -2.505e-08  0.000e+00   0.000e+00   -6.268e-05  -4.622e-07  -8.488e-05  -4.263e-14  -4.317e-08  0.000e+00   -3.567e-21  4.780e-07   
1.000e+01   -1.480e-04  -2.544e-08  5.573e-18   -2.614e-08  -6.005e-10  1.446e-17   -6.266e-05  -4.814e-07  -8.484e-05  -4.260e-14  -4.342e-08  0.000e+00   8.889e-16   4.878e-07   
1.080e+01   -1.480e-04  -2.547e-08  6.039e-18   -2.623e-08  -6.484e-10  1.640e-17   -6.266e-05  -4.829e-07  -8.483e-05  -4.260e-14  -4.344e-08  0.000e+00   9.602e-16   4.886e-07   
1.166e+01   -1.480e-04  -2.550e-08  6.546e-18   -2.633e-08  -7.002e-10  1.863e-17   -6.266e-05  -4.846e-07  -8.483e-05  -4.260e-14  -4.346e-08  0.000e+00   1.037e-15   4.894e-07   
1.259e+01   -1.480e-04  -2.554e-08  7.097e-18   -2.643e-08  -7.561e-10  2.119e-17   -6.266e-05  -4.863e-07  -8.483e-05  -4.260e-14  -4.348e-08  0.000e+00   1.120e-15   4.904e-07   
1.359e+01   -1.480e-04  -2.558e-08  7.698e-18   -2.654e-08  -8.164e-10  2.412e-17   -6.265e-05  -4.883e-07  -8.482e-05  -4.259e-14  -4.351e-08  0.000e+00   1.210e-15   4.913e-07   
1.468e+01   -1.480e-04  -2.562e-08  8.352e-18   -2.666e-08  -8.816e-10  2.750e-17   -6.265e-05  -4.903e-07  -8.482e-05  -4.259e-14  -4.353e-08  0.000e+00   1.308e-15   4.924e-07   
1.585e+01   -1.480e-04  -2.566e-08  9.064e-18   -2.679e-08  -9.520e-10  3.139e-17   -6.265e-05  -4.926e-07  -8.481e-05  -4.259e-14  -4.356e-08  0.000e+00   1.413e-15   4.936e-07   
1.711e+01   -1.480e-04  -2.571e-08  9.842e-18   -2.692e-08  -1.028e-09  3.588e-17   -6.265e-05  -4.950e-07  -8.481e-05  -4.258e-14  -4.359e-08  0.000e+00   1.526e-15   4.948e-07   
1.848e+01   -1.480e-04  -2.577e-08  1.069e-17   -2.707e-08  -1.110e-09  4.105e-17   -6.264e-05  -4.976e-07  -8.480e-05  -4.258e-14  -4.362e-08  0.000e+00   1.649e-15   4.961e-07   
1.995e+01   -1.480e-04  -2.582e-08  1.162e-17   -2.724e-08  -1.199e-09  4.701e-17   -6.264e-05  -5.004e-07  -8.479e-05  -4.258e-14  -4.366e-08  0.000e+00   1.782e-15   4.976e-07   
2.154e+01   -1.480e-04  -2.589e-08  1.263e-17   -2.741e-08  -1.294e-09  5.390e-17   -6.264e-05  -5.035e-07  -8.479e-05  -4.257e-14  -4.370e-08  0.000e+00   1.925e-15   4.992e-07   
2.326e+01   -1.480e-04  -2.595e-08  1.374e-17   -2.760e-08  -1.398e-09  6.185e-17   -6.264e-05  -5.068e-07  -8.478e-05  -4.257e-14  -4.374e-08  0.000e+00   2.080e-15   5.008e-07   
2.512e+01   -1.480e-04  -2.603e-08  1.495e-17   -2.780e-08  -1.509e-09  7.105e-17   -6.263e-05  -5.103e-07  -8.477e-05  -4.256e-14  -4.379e-08  0.000e+00   2.248e-15   5.027e-07   
2.712e+01   -1.480e-04  -2.610e-08  1.628e-17   -2.802e-08  -1.630e-09  8.169e-17   -6.263e-05  -5.142e-07  -8.476e-05  -4.256e-14  -4.384e-08  0.000e+00   2.430e-15   5.046e-07   
2.929e+01   -1.480e-04  -2.619e-08  1.774e-17   -2.826e-08  -1.760e-09  9.401e-17   -6.262e-05  -5.183e-07  -8.475e-05  -4.255e-14  -4.389e-08  0.000e+00   2.626e-15   5.068e-07   
3.162e+01   -1.480e-04  -2.628e-08  1.934e-17   -2.852e-08  -1.901e-09  1.083e-16   -6.262e-05  -5.228e-07  -8.474e-05  -4.255e-14  -4.395e-08  0.000e+00   2.838e-15   5.091e-07   
3.415e+01   -1.479e-04  -2.638e-08  2.110e-17   -2.880e-08  -2.052e-09  1.248e-16   -6.261e-05  -5.277e-07  -8.473e-05  -4.254e-14  -4.401e-08  0.000e+00   3.068e-15   5.115e-07   
3.687e+01   -1.479e-04  -2.649e-08  2.304e-17   -2.910e-08  -2.216e-09  1.439e-16   -6.261e-05  -5.329e-07  -8.472e-05  -4.254e-14  -4.407e-08  0.000e+00   3.317e-15   5.142e-07   
