!Evolution of concentrations of chemical species,
!first row: H nuclei concentration [cm-3], nb of times, number of species,
!second row: specimen list,
! 2.000000e+04   151    8      
!time(s)     e-          H           H+          H2          H2+         He          He+         He++        
0.0000e+00   1.000e-99   1.000e-99   1.000e-99   1.000e+04   1.000e-99   2.000e-05   1.000e-99   1.000e-99   
1.0000e+01   5.500e-05   1.920e-05   4.070e-06   1.000e+04   5.093e-05   2.000e-05   4.231e-14   4.712e-24   
1.0798e+01   5.938e-05   2.073e-05   4.394e-06   1.000e+04   5.499e-05   2.000e-05   4.568e-14   5.493e-24   
1.1659e+01   6.412e-05   2.239e-05   4.745e-06   1.000e+04   5.937e-05   2.000e-05   4.932e-14   6.402e-24   
1.2589e+01   6.923e-05   2.418e-05   5.123e-06   1.000e+04   6.411e-05   2.000e-05   5.326e-14   7.463e-24   
1.3594e+01   7.475e-05   2.611e-05   5.532e-06   1.000e+04   6.922e-05   2.000e-05   5.750e-14   8.698e-24   
1.4678e+01   8.071e-05   2.819e-05   5.973e-06   1.000e+04   7.474e-05   2.000e-05   6.208e-14   1.014e-23   
1.5849e+01   8.715e-05   3.045e-05   6.449e-06   1.000e+04   8.070e-05   2.000e-05   6.703e-14   1.182e-23   
1.7113e+01   9.410e-05   3.288e-05   6.963e-06   1.000e+04   8.714e-05   2.000e-05   7.237e-14   1.377e-23   
1.8478e+01   1.016e-04   3.551e-05   7.519e-06   1.000e+04   9.408e-05   2.000e-05   7.813e-14   1.605e-23   
1.9953e+01   1.097e-04   3.834e-05   8.118e-06   1.000e+04   1.016e-04   2.000e-05   8.435e-14   1.870e-23   
2.1544e+01   1.184e-04   4.141e-05   8.765e-06   1.000e+04   1.097e-04   2.000e-05   9.107e-14   2.180e-23   
2.3263e+01   1.279e-04   4.472e-05   9.464e-06   1.000e+04   1.184e-04   2.000e-05   9.832e-14   2.540e-23   
2.5119e+01   1.381e-04   4.830e-05   1.022e-05   1.000e+04   1.279e-04   2.000e-05   1.062e-13   2.960e-23   
2.7123e+01   1.491e-04   5.216e-05   1.103e-05   1.000e+04   1.381e-04   2.000e-05   1.146e-13   3.449e-23   
2.9286e+01   1.610e-04   5.633e-05   1.191e-05   1.000e+04   1.491e-04   2.000e-05   1.237e-13   4.018e-23   
3.1623e+01   1.738e-04   6.084e-05   1.286e-05   1.000e+04   1.610e-04   2.000e-05   1.336e-13   4.682e-23   
3.4145e+01   1.877e-04   6.571e-05   1.389e-05   1.000e+04   1.738e-04   2.000e-05   1.442e-13   5.454e-23   
3.6869e+01   2.026e-04   7.097e-05   1.499e-05   1.000e+04   1.876e-04   2.000e-05   1.557e-13   6.354e-23   
3.9811e+01   2.188e-04   7.665e-05   1.619e-05   1.000e+04   2.026e-04   2.000e-05   1.680e-13   7.402e-23   
4.2987e+01   2.362e-04   8.279e-05   1.748e-05   1.000e+04   2.187e-04   2.000e-05   1.814e-13   8.622e-23   
4.6416e+01   2.550e-04   8.942e-05   1.887e-05   1.000e+04   2.362e-04   2.000e-05   1.958e-13   1.004e-22   
5.0119e+01   2.753e-04   9.659e-05   2.038e-05   1.000e+04   2.550e-04   2.000e-05   2.114e-13   1.169e-22   
5.4117e+01   2.973e-04   1.043e-04   2.200e-05   1.000e+04   2.753e-04   2.000e-05   2.282e-13   1.362e-22   
5.8434e+01   3.210e-04   1.127e-04   2.375e-05   1.000e+04   2.972e-04   2.000e-05   2.463e-13   1.586e-22   
6.3096e+01   3.465e-04   1.217e-04   2.564e-05   1.000e+04   3.209e-04   2.000e-05   2.658e-13   1.846e-22   
6.8129e+01   3.741e-04   1.315e-04   2.768e-05   1.000e+04   3.464e-04   2.000e-05   2.869e-13   2.149e-22   
7.3564e+01   4.039e-04   1.421e-04   2.989e-05   1.000e+04   3.740e-04   2.000e-05   3.097e-13   2.502e-22   
7.9433e+01   4.361e-04   1.535e-04   3.227e-05   1.000e+04   4.038e-04   2.000e-05   3.342e-13   2.912e-22   
8.5770e+01   4.708e-04   1.658e-04   3.484e-05   1.000e+04   4.359e-04   2.000e-05   3.607e-13   3.388e-22   
9.2612e+01   5.082e-04   1.792e-04   3.761e-05   1.000e+04   4.706e-04   2.000e-05   3.892e-13   3.942e-22   
1.0000e+02   5.487e-04   1.936e-04   4.060e-05   1.000e+04   5.081e-04   2.000e-05   4.200e-13   4.586e-22   
1.0798e+02   5.923e-04   2.092e-04   4.383e-05   1.000e+04   5.485e-04   2.000e-05   4.532e-13   5.334e-22   
1.1659e+02   6.394e-04   2.261e-04   4.732e-05   1.000e+04   5.921e-04   2.000e-05   4.890e-13   6.202e-22   
1.2589e+02   6.902e-04   2.443e-04   5.108e-05   1.000e+04   6.392e-04   2.000e-05   5.276e-13   7.211e-22   
1.3594e+02   7.451e-04   2.641e-04   5.514e-05   1.000e+04   6.900e-04   2.000e-05   5.692e-13   8.382e-22   
1.4678e+02   8.043e-04   2.854e-04   5.952e-05   1.000e+04   7.448e-04   2.000e-05   6.141e-13   9.740e-22   
1.5849e+02   8.682e-04   3.085e-04   6.424e-05   1.000e+04   8.039e-04   2.000e-05   6.624e-13   1.131e-21   
1.7113e+02   9.371e-04   3.335e-04   6.934e-05   1.000e+04   8.677e-04   2.000e-05   7.145e-13   1.314e-21   
1.8478e+02   1.011e-03   3.605e-04   7.485e-05   1.000e+04   9.366e-04   2.000e-05   7.706e-13   1.526e-21   
1.9953e+02   1.092e-03   3.898e-04   8.078e-05   1.000e+04   1.011e-03   2.000e-05   8.311e-13   1.771e-21   
2.1544e+02   1.178e-03   4.215e-04   8.719e-05   1.000e+04   1.091e-03   2.000e-05   8.962e-13   2.054e-21   
2.3263e+02   1.272e-03   4.558e-04   9.409e-05   1.000e+04   1.177e-03   2.000e-05   9.662e-13   2.382e-21   
2.5119e+02   1.372e-03   4.930e-04   1.015e-04   1.000e+04   1.271e-03   2.000e-05   1.042e-12   2.761e-21   
2.7123e+02   1.481e-03   5.333e-04   1.096e-04   1.000e+04   1.371e-03   2.000e-05   1.123e-12   3.199e-21   
2.9286e+02   1.598e-03   5.769e-04   1.182e-04   1.000e+04   1.480e-03   2.000e-05   1.210e-12   3.705e-21   
